name,month,cost_yuan,saving_yuan
q2_repriced,2,1324455.0898082172,0.0
q2_repriced,3,1208913.6303751394,0.0
q2_repriced,4,993512.5520804875,0.0
q2_repriced,5,1028608.4845691076,0.0
q2_repriced,6,1566998.668595274,0.0
q2_repriced,7,1806306.2978208095,0.0
q2_repriced,8,1524750.9157805163,0.0
q2_repriced,9,1206116.5116698327,0.0
q2_repriced,10,1179612.1236630585,0.0
q2_repriced,11,1378668.8247263038,0.0
q2_repriced,12,1966761.1323875524,0.0
mean_price,2,1322286.3920244141,2168.6977838032417
mean_price,3,1208107.4543788573,806.1759962821998
mean_price,4,995484.9788627166,-1972.426782229024
mean_price,5,1029575.7280340713,-967.2434649636361
mean_price,6,1555694.7304773608,11303.938117913072
mean_price,7,1800448.8819008989,5857.415919910698
mean_price,8,1513368.865510428,11382.050270088293
mean_price,9,1208979.348808193,-2862.837138360517
mean_price,10,1182237.5569105216,-2625.4332474630537
mean_price,11,1376179.7131253292,2489.111600974753
mean_price,12,1968557.7958050042,-1796.6634174517276
joint_price,2,1322585.7614870726,1869.3283211446742
joint_price,3,1207996.3298305918,917.300544547521
joint_price,4,993412.88959756,99.6624829274806
joint_price,5,1029209.4096139607,-600.9250448530656
joint_price,6,1557119.7642540557,9878.904341218353
joint_price,7,1800203.9520198377,6102.3458009719725
joint_price,8,1511209.6873471844,13541.22843333201
joint_price,9,1208946.6385937675,-2830.1269239348458
joint_price,10,1184031.6969145713,-4419.573251512707
joint_price,11,1377933.8164067457,735.0083195581065
joint_price,12,1970393.9422451884,-3632.80985763593
known_today_price,2,1312695.0371577477,11760.052650469575
known_today_price,3,1195938.1643455902,12975.466029549347
known_today_price,4,984825.8339965144,8686.71808397314
known_today_price,5,1016553.8659503609,12054.618618746736
known_today_price,6,1544567.947275689,22430.721319584824
known_today_price,7,1790629.1703319617,15677.127488847898
known_today_price,8,1504392.844565418,20358.07121509831
known_today_price,9,1192753.6242716056,13362.887398227173
known_today_price,10,1169698.245557235,9913.878105823338
known_today_price,11,1364066.0146447502,14602.81008155381
known_today_price,12,1956922.4301198148,9838.702267737684
